date,value
2020-01-02,200000
2020-01-03,200000
2020-01-06,200000
2020-01-07,200000
2020-01-08,200000
2020-01-09,200000
2020-01-10,200000
2020-01-13,200000
2020-01-14,200000
2020-01-15,200000
2020-01-16,200000
2020-01-17,200000
2020-01-21,200000
2020-01-22,200000
2020-01-23,200000
2020-01-24,200000
2020-01-27,200000
2020-01-28,200000
2020-01-29,200000
2020-01-30,200000
2020-01-31,199769
2020-02-03,199564
2020-02-04,200335
2020-02-05,201127
2020-02-06,200775
2020-02-07,200991
2020-02-10,201075
2020-02-11,201887
2020-02-12,201305
2020-02-13,201018
2020-02-14,201037
2020-02-18,201308
2020-02-19,201649
2020-02-20,201521
2020-02-21,201085
2020-02-24,199311
2020-02-25,200052
2020-02-26,199535
2020-02-27,199515
2020-02-28,199515
2020-03-02,199515
2020-03-03,199515
2020-03-04,199515
2020-03-05,199515
2020-03-06,199515
2020-03-09,199515
2020-03-10,199515
2020-03-11,199515
2020-03-12,199515
2020-03-13,199515
2020-03-16,199515
2020-03-17,199515
2020-03-18,199515
2020-03-19,199515
2020-03-20,199515
2020-03-23,199515
2020-03-24,199515
2020-03-25,199515
2020-03-26,199515
2020-03-27,199515
2020-03-30,199515
2020-03-31,199515
2020-04-01,199515
2020-04-02,199515
2020-04-03,199515
2020-04-06,199515
2020-04-07,200649
2020-04-08,200161
2020-04-09,200247
2020-04-13,199997
2020-04-14,200575
2020-04-15,200849
2020-04-16,201235
2020-04-17,201882
2020-04-20,201525
2020-04-21,201135
2020-04-22,200873
2020-04-23,201211
2020-04-24,200956
2020-04-27,201520
2020-04-28,201395
2020-04-29,201100
2020-04-30,201944
2020-05-01,201422
2020-05-04,201258
2020-05-05,202021
2020-05-06,202203
2020-05-07,202463
2020-05-08,202564
2020-05-11,202336
2020-05-12,202790
2020-05-13,202262
2020-05-14,201638
2020-05-15,201827
2020-05-18,202660
2020-05-19,202570
2020-05-20,202607
2020-05-21,202680
2020-05-22,202405
2020-05-26,202798
2020-05-27,202032
2020-05-28,202099
2020-05-29,202347
2020-06-01,202324
2020-06-02,202537
2020-01-02,179544
2020-06-03,202608
2020-01-03,179544
2020-01-06,179544
2020-01-07,179544
2020-01-08,179544
2020-06-04,202543
2020-01-02,179544
2020-06-05,202334
2020-01-09,179544
2020-01-03,179544
2020-06-08,202748
2020-01-06,179544
2020-01-10,179544
2020-06-09,203005
2020-01-07,179544
2020-06-10,203396
2020-01-13,179544
2020-01-08,179544
2020-06-11,203645
2020-01-14,179544
2020-06-12,203322
2020-01-15,179544
2020-01-09,179544
2020-06-15,202578
2020-01-10,179544
2020-06-16,203615
2020-01-13,179544
2020-01-16,179544
2020-06-17,203882
2020-01-14,179544
2020-01-17,179544
2020-06-18,203754
2020-01-15,179544
2020-01-21,179544
2020-06-19,204327
2020-01-16,179544
2020-01-22,179544
2020-06-22,203977
2020-01-17,179544
2020-01-23,179544
2020-06-23,204763
2020-01-21,179544
2020-01-24,179544
2020-06-24,204702
2020-01-22,179544
2020-01-27,179544
2020-06-25,204228
2020-01-23,179544
2020-01-28,179544
2020-06-26,204469
2020-01-24,179544
2020-01-27,179544
2020-01-28,179544
2020-01-29,179544
2020-01-30,179544
2020-01-31,179544
2020-02-03,179544
2020-02-04,179544
2020-02-05,179544
2020-02-06,179544
2020-02-07,179544
2020-02-10,179544
2020-06-29,203976
2020-06-30,204238
2020-07-01,204894
2020-07-02,205211
2020-07-06,205604
2020-07-07,205807
2020-07-08,205759
2020-07-09,206540
2020-02-11,179544
2020-02-12,179544
2020-02-13,179544
2020-02-14,179544
2020-01-29,161571
2020-02-18,179518
2020-07-10,188230
2020-01-30,161571
2020-02-19,179638
2020-07-13,188337
2020-01-31,161571
2020-02-20,179601
2020-07-14,187295
2020-02-03,161571
2020-02-21,179436
2020-07-15,187723
2020-02-04,161571
2020-02-24,178465
2020-07-16,187204
2020-02-05,161571
2020-02-25,178547
2020-07-17,187088
2020-02-06,161571
2020-02-26,178110
2020-07-20,187154
2020-07-21,204758
2020-02-07,178094
2020-02-27,178094
2020-07-22,204201
2020-02-10,178094
2020-02-28,178094
2020-07-23,203950
2020-02-11,178094
2020-03-02,178094
2020-07-24,203105
2020-02-12,178094
2020-03-03,178094
2020-07-27,203236
2020-02-13,178094
2020-03-04,178094
2020-07-28,203503
2020-02-14,178094
2020-03-05,178094
2020-07-29,203365
2020-07-30,203340
2020-07-31,203340
2020-02-18,203340
2020-08-03,203340
2020-03-06,203340
2020-08-04,203340
2020-02-19,203340
2020-03-09,203340
2020-02-20,203340
2020-03-10,203340
2020-02-21,203340
2020-03-11,203340
2020-02-24,203340
2020-08-05,203340
2020-03-12,203340
2020-08-06,203340
2020-03-13,203340
2020-02-25,203340
2020-08-07,203340
2020-03-16,203340
2020-08-10,203340
2020-02-26,203340
2020-08-11,203340
2020-03-17,203340
2020-08-12,203340
2020-02-27,203340
2020-03-18,203340
2020-02-28,203340
2020-03-19,203340
2020-03-02,203340
2020-03-20,203340
2020-03-03,203340
2020-08-13,203340
2020-03-23,203340
2020-03-04,203340
2020-08-14,203340
2020-03-24,203340
2020-03-05,203340
2020-03-25,203340
2020-03-26,203340
2020-03-27,203340
2020-03-30,203340
2020-03-31,203340
2020-04-01,203340
2020-04-02,203340
2020-04-03,203340
2020-04-06,203340
2020-04-07,203340
2020-04-08,203078
2020-08-17,203340
2020-03-06,182985
2020-03-09,182985
2020-03-10,182985
2020-03-11,182985
2020-03-12,182985
2020-04-09,203370
2020-04-13,203122
2020-04-14,203720
2020-03-13,182985
2020-03-16,182985
2020-03-17,182985
2020-03-18,182985
2020-03-19,182985
2020-04-15,203729
2020-04-16,204203
2020-04-17,204383
2020-04-20,204152
2020-04-21,203752
2020-04-22,203728
2020-04-23,204161
2020-04-24,203988
2020-04-27,204568
2020-04-28,204434
2020-04-29,205325
2020-04-30,205049
2020-05-01,205109
2020-05-04,204772
2020-05-05,205266
2020-05-06,205662
2020-05-07,205733
2020-05-08,206019
2020-05-11,205938
2020-05-12,206419
2020-05-13,205918
2020-08-18,182985
2020-08-19,182985
2020-08-20,182798
2020-08-21,183172
2020-08-24,183252
2020-08-25,183106
2020-08-26,183520
2020-08-27,183953
2020-08-28,184411
2020-08-31,184309
2020-05-14,186901
2020-05-15,187151
2020-05-18,187346
2020-05-19,187767
2020-05-20,187810
2020-05-21,188117
2020-05-22,187929
2020-05-26,188604
2020-05-27,188271
2020-05-28,187931
2020-05-29,188265
2020-06-01,188290
2020-09-01,184180
2020-09-02,184393
2020-09-03,184505
2020-09-04,183279
2020-09-08,182535
2020-09-09,182630
2020-09-10,183132
2020-09-11,182596
2020-09-14,182340
2020-09-15,182701
2020-06-02,188492
2020-06-03,188621
2020-06-04,188490
2020-06-05,188203
2020-06-08,188355
2020-06-09,188739
2020-09-16,182892
2020-09-17,181977
2020-06-10,206266
2020-06-11,205982
2020-09-18,181960
2020-09-21,181960
2020-09-22,181960
2020-09-23,181960
2020-06-12,205749
2020-06-15,205122
2020-09-24,181960
2020-03-20,181960
2020-09-25,205098
2020-09-28,205098
2020-09-29,205098
2020-09-30,205098
2020-06-16,205098
2020-03-23,205098
2020-10-01,205098
