date,symbol,cash,max_alloc,atr,price,final_qty
2020-01-30,MSFT,200000,0.1,2.98069,121.023,121.023
2020-02-26,MSFT,179980,0.1,5.62287,121.023,121.023
2020-04-06,MSFT,199515,0.1,8.9665,130.712,130.712
2020-02-14,GOOG,179544,0.1,1.43806,238.704,238.704
2020-02-26,GOOG,161571,0.1,1.47195,238.704,238.704
2020-07-29,MSFT,178094,0.1,5.62197,130.712,130.712
2020-04-07,GOOG,203340,0.1,3.14734,335.569,335.569
2020-08-19,MSFT,182985,0.1,4.67066,90.4063,90.4063
2020-09-17,MSFT,164668,0.1,7.5346,90.4063,90.4063
2020-06-15,GOOG,181960,0.1,1.55919,335.569,335.569
2020-10-14,MSFT,205098,0.1,5.17824,96.1014,96.1014
2020-07-13,GOOG,184568,0.1,1.93543,239.938,239.938
2020-04-13,AAPL,166093,0.1,3.00669,256.195,256.195
2020-10-30,MSFT,149467,0.1,5.22131,96.1014,96.1014
2020-08-10,GOOG,168165,0.1,1.73865,239.938,239.938
2020-08-19,GOOG,185856,0.1,1.55342,241.097,241.097
2020-12-22,MSFT,167251,0.1,3.47696,78.272,78.272
2021-01-13,MSFT,150510,0.1,4.01773,78.272,78.272
2020-09-17,GOOG,166567,0.1,2.5722,241.097,241.097
2021-01-26,MSFT,184449,0.1,4.5537,82.9065,82.9065
2021-02-23,MSFT,165986,0.1,3.91022,82.9065,82.9065
2020-10-12,GOOG,184333,0.1,1.79272,240.72,240.72
2021-03-24,MSFT,165881,0.1,4.96056,72.5158,72.5158
2020-09-14,AAPL,149277,0.1,6.08873,256.195,256.195
2020-12-21,GOOG,177783,0.1,1.7061,240.72,240.72
2020-10-13,AAPL,198232,0.1,4.01108,162.992,162.992
2021-05-04,MSFT,178389,0.1,3.95004,72.5158,72.5158
2021-01-21,GOOG,195875,0.1,2.3463,207.949,207.949
2020-10-30,AAPL,176268,0.1,3.8058,162.992,162.992
2020-11-20,AAPL,193825,0.1,3.31293,167.985,167.985
2021-06-09,MSFT,174423,0.1,3.60112,71.2904,71.2904
2021-03-04,GOOG,156963,0.1,2.56669,207.949,207.949
2021-04-05,GOOG,177824,0.1,2.04102,166.43,166.43
2021-01-19,AAPL,160024,0.1,3.5477,167.985,167.985
2021-01-26,AAPL,180878,0.1,4.12081,129.516,129.516
2021-02-12,AAPL,162772,0.1,3.60962,129.516,129.516
2021-05-18,GOOG,179704,0.1,2.53668,166.43,166.43
2021-06-01,GOOG,198986,0.1,2.26131,165.548,165.548
2021-09-13,MSFT,179068,0.1,3.49349,71.2904,71.2904
2021-04-09,AAPL,199534,0.1,2.52265,157.829,157.829
2021-07-01,GOOG,179561,0.1,1.43657,165.548,165.548
2021-07-06,GOOG,200055,0.1,1.56136,155.702,155.702
2021-05-05,AAPL,180030,0.1,2.67084,157.829,157.829
2021-10-18,MSFT,199871,0.1,5.52239,68.1705,68.1705
2021-08-16,GOOG,179864,0.1,1.76339,155.702,155.702
2021-08-24,GOOG,201170,0.1,1.85564,143.192,143.192
2021-12-06,MSFT,181033,0.1,6.73878,68.1705,68.1705
2021-06-16,AAPL,202379,0.1,1.76453,159.109,159.109
2021-09-20,GOOG,182121,0.1,2.16476,143.192,143.192
2021-10-20,GOOG,201857,0.1,2.59576,141.012,141.012
2021-11-26,GOOG,181651,0.1,2.3329,141.012,141.012
2021-09-20,AAPL,201927,0.1,3.12676,159.109,159.109
2022-03-28,MSFT,224261,0.1,8.04617,76.0018,76.0018
2022-04-13,MSFT,201812,0.1,7.31274,76.0018,76.0018
2021-10-21,AAPL,222626,0.1,2.7059,153.109,153.109
2022-03-28,GOOG,200341,0.1,3.65635,143.473,143.473
2022-04-12,GOOG,180287,0.1,2.83085,143.473,143.473
2022-07-06,MSFT,199126,0.1,6.68627,77.6854,77.6854
2022-01-18,AAPL,179193,0.1,3.83586,153.109,153.109
2022-02-11,AAPL,204864,0.1,4.75594,121.332,121.332
2022-07-11,GOOG,184357,0.1,4.00146,156.544,156.544
2022-02-22,AAPL,184357,0.1,3.63915,121.332,121.332
2022-08-29,MSFT,185496,0.1,5.33125,77.6854,77.6854
2022-07-26,GOOG,205589,0.1,3.87788,156.544,156.544
2022-03-28,AAPL,222265,0.1,4.72536,131.76,131.76
2022-08-11,GOOG,200016,0.1,3.476,165.069,165.069
2022-08-24,GOOG,179995,0.1,2.45218,165.069,165.069
2022-04-18,AAPL,198727,0.1,3.89534,131.76,131.76
2022-11-23,MSFT,219868,0.1,6.39226,91.8463,91.8463
2022-07-08,AAPL,197859,0.1,3.73846,138.817,138.817
2022-12-21,MSFT,178053,0.1,6.88607,91.8463,91.8463
2022-11-23,GOOG,199712,0.1,3.0748,206.708,206.708
2022-12-09,GOOG,179720,0.1,2.70805,206.708,206.708
2022-08-30,AAPL,198967,0.1,3.15059,138.817,138.817
2022-10-31,AAPL,221059,0.1,5.18525,146.89,146.89
2022-12-09,AAPL,198931,0.1,3.78642,146.89,146.89
