date,symbol,rsi,atr,volume_spike,signal
2020-01-02,GOOG,0,0,0,HOLD
2020-01-03,GOOG,0,0,0,HOLD
2020-01-06,GOOG,0,0,0,HOLD
2020-01-07,GOOG,0,0,0,HOLD
2020-01-08,GOOG,0,0,0,HOLD
2020-01-09,GOOG,0,0,0,HOLD
2020-01-10,GOOG,0,0,0,HOLD
2020-01-13,GOOG,0,0,0,HOLD
2020-01-14,GOOG,0,0,0,HOLD
2020-01-15,GOOG,0,0,0,HOLD
2020-01-16,GOOG,0,0,0,HOLD
2020-01-17,GOOG,0,0,0,HOLD
2020-01-02,MSFT,0,0,0,HOLD
2020-01-03,MSFT,0,0,0,HOLD
2020-01-06,MSFT,0,0,0,HOLD
2020-01-07,MSFT,0,0,0,HOLD
2020-01-08,MSFT,0,0,0,HOLD
2020-01-09,MSFT,0,0,0,HOLD
2020-01-10,MSFT,0,0,0,HOLD
2020-01-13,MSFT,0,0,0,HOLD
2020-01-14,MSFT,0,0,0,HOLD
2020-01-15,MSFT,0,0,0,HOLD
2020-01-16,MSFT,0,0,0,HOLD
2020-01-17,MSFT,0,0,0,HOLD
2020-01-21,MSFT,0,0,0,HOLD
2020-01-22,MSFT,0,0,0,HOLD
2020-01-23,MSFT,0,0,0,HOLD
2020-01-24,MSFT,0,0,0,HOLD
2020-01-27,MSFT,0,0,0,HOLD
2020-01-28,MSFT,0,0,0,HOLD
2020-01-29,MSFT,0,0,0,HOLD
2020-01-21,GOOG,0,0,0,HOLD
2020-01-22,GOOG,0,0,0,HOLD
2020-01-23,GOOG,0,0,0,HOLD
2020-01-24,GOOG,0,0,0,HOLD
2020-01-27,GOOG,0,0,0,HOLD
2020-01-28,GOOG,0,0,0,HOLD
2020-01-29,GOOG,0,0,0,HOLD
2020-01-30,MSFT,31.2095,2.98069,1,BUY
2020-01-30,GOOG,45.3066,1.11926,0,HOLD
2020-01-31,MSFT,35.922,3.08039,0,HOLD
2020-01-02,AAPL,0,0,0,HOLD
2020-01-03,AAPL,0,0,0,HOLD
2020-01-06,AAPL,0,0,0,HOLD
2020-01-07,AAPL,0,0,0,HOLD
2020-01-08,AAPL,0,0,0,HOLD
2020-01-09,AAPL,0,0,0,HOLD
2020-01-10,AAPL,0,0,0,HOLD
2020-01-13,AAPL,0,0,0,HOLD
2020-01-14,AAPL,0,0,0,HOLD
2020-01-15,AAPL,0,0,0,HOLD
2020-01-16,AAPL,0,0,0,HOLD
2020-01-17,AAPL,0,0,0,HOLD
2020-01-21,AAPL,0,0,0,HOLD
2020-01-22,AAPL,0,0,0,HOLD
2020-01-23,AAPL,0,0,0,HOLD
2020-01-24,AAPL,0,0,0,HOLD
2020-01-27,AAPL,0,0,0,HOLD
2020-01-28,AAPL,0,0,0,HOLD
